symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VNM.VN')","('high', 'VNM.VN')","('low', 'VNM.VN')","('close', 'VNM.VN')","('volume', 'VNM.VN')"
VNM,2017-12-12,91960.0,92620.0,90280.0,92430.0,757020.0,,,,,,
VNM,2017-12-13,92430.0,92850.0,91460.0,92570.0,652890.0,,,,,,
VNM,2017-12-14,92900.0,95500.0,92670.0,95500.0,837490.0,,,,,,
VNM,2017-12-15,95500.0,95500.0,92670.0,93620.0,1865860.0,,,,,,
VNM,2017-12-18,95500.0,97650.0,94290.0,97410.0,1218260.0,,,,,,
VNM,2017-12-19,97410.0,97840.0,96460.0,96460.0,1086070.0,,,,,,
VNM,2017-12-20,95500.0,97280.0,95030.0,96000.0,554110.0,,,,,,
VNM,2017-12-21,95500.0,97280.0,95500.0,96890.0,467120.0,,,,,,
VNM,2017-12-22,96460.0,96940.0,96000.0,96430.0,442910.0,,,,,,
VNM,2017-12-25,96040.0,96370.0,94940.0,95030.0,377420.0,,,,,,
VNM,2017-12-26,95030.0,96430.0,94860.0,96430.0,415160.0,,,,,,
VNM,2017-12-27,97280.0,97650.0,96940.0,97410.0,754980.0,,,,,,
VNM,2017-12-28,97890.0,98140.0,97410.0,98000.0,652970.0,,,,,,
VNM,2017-12-29,97190.0,101490.0,97190.0,99630.0,893540.0,,,,,,
VNM,2018-01-02,100770.0,101190.0,99630.0,100990.0,372760.0,,,,,,
VNM,2018-01-03,101980.0,102670.0,101280.0,102140.0,557370.0,,,,,,
VNM,2018-01-04,101770.0,102670.0,101770.0,102570.0,704350.0,,,,,,
VNM,2018-01-05,102190.0,102670.0,101490.0,101980.0,518860.0,,,,,,
VNM,2018-01-08,101730.0,101730.0,99580.0,100280.0,674800.0,,,,,,
VNM,2018-01-09,100330.0,101240.0,98610.0,98850.0,810590.0,,,,,,
VNM,2018-01-10,98000.0,100770.0,98000.0,100770.0,902750.0,,,,,,
VNM,2018-01-11,101240.0,101240.0,99860.0,100280.0,794780.0,,,,,,
VNM,2018-01-12,100230.0,100770.0,99940.0,100230.0,585640.0,,,,,,
VNM,2018-01-15,99800.0,100050.0,99340.0,99580.0,405160.0,,,,,,
