symbol,date,open,high,low,close,volume,"('date', '')","('open', 'STB.VN')","('high', 'STB.VN')","('low', 'STB.VN')","('close', 'STB.VN')","('volume', 'STB.VN')"
STB,2017-03-31,11400.0,11850.0,11200.0,11450.0,10132150.0,,,,,,
STB,2017-04-03,11600.0,12250.0,11600.0,12250.0,18140820.0,,,,,,
STB,2017-04-04,12800.0,12800.0,12300.0,12400.0,14362330.0,,,,,,
STB,2017-04-05,12250.0,12600.0,12050.0,12300.0,7535020.0,,,,,,
STB,2017-04-07,11700.0,13150.0,11700.0,13150.0,26336490.0,,,,,,
STB,2017-04-10,13400.0,13800.0,12800.0,12800.0,10962740.0,,,,,,
STB,2017-04-11,12700.0,13000.0,12550.0,12650.0,5045820.0,,,,,,
STB,2017-04-12,12550.0,13000.0,12500.0,12750.0,6402260.0,,,,,,
STB,2017-04-13,12900.0,12900.0,11900.0,11900.0,4994400.0,,,,,,
STB,2017-04-14,11700.0,12200.0,11350.0,11600.0,5497070.0,,,,,,
STB,2017-04-17,11900.0,12000.0,11200.0,11200.0,5038810.0,,,,,,
STB,2017-04-18,11200.0,11300.0,11050.0,11300.0,6659720.0,,,,,,
STB,2017-04-19,11300.0,11700.0,11300.0,11600.0,3200840.0,,,,,,
STB,2017-04-20,11600.0,11900.0,11500.0,11600.0,3038720.0,,,,,,
STB,2017-04-21,11700.0,11800.0,11050.0,11250.0,5004420.0,,,,,,
STB,2017-04-24,11000.0,11400.0,10500.0,10500.0,4982210.0,,,,,,
STB,2017-04-25,10750.0,11200.0,10450.0,11100.0,5363000.0,,,,,,
STB,2017-04-26,11100.0,11850.0,10950.0,11850.0,8428630.0,,,,,,
STB,2017-04-27,11900.0,12600.0,11900.0,12400.0,11427550.0,,,,,,
STB,2017-04-28,12050.0,12350.0,11550.0,11550.0,12436270.0,,,,,,
STB,2017-05-03,11550.0,11900.0,11500.0,11650.0,4246930.0,,,,,,
STB,2017-05-04,11600.0,12250.0,11600.0,12150.0,6460220.0,,,,,,
STB,2017-05-05,12150.0,12150.0,11950.0,12100.0,3470050.0,,,,,,
STB,2017-05-08,11800.0,12100.0,11700.0,11750.0,2700320.0,,,,,,
