symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VIB.VN')","('high', 'VIB.VN')","('low', 'VIB.VN')","('close', 'VIB.VN')","('volume', 'VIB.VN')"
VIB,2017-11-28,2950.0,3020.0,2910.0,2910.0,38889.0,,,,,,
VIB,2017-11-29,2930.0,2930.0,2910.0,2910.0,37515.0,,,,,,
VIB,2017-11-30,2930.0,2930.0,2820.0,2830.0,115471.0,,,,,,
VIB,2017-12-01,2850.0,2900.0,2790.0,2900.0,8680.0,,,,,,
VIB,2017-12-04,2850.0,2930.0,2850.0,2860.0,60110.0,,,,,,
VIB,2017-12-05,2910.0,2970.0,2860.0,2900.0,172390.0,,,,,,
VIB,2017-12-06,2890.0,2910.0,2890.0,2890.0,114705.0,,,,,,
VIB,2017-12-07,2900.0,2980.0,2850.0,2910.0,61103.0,,,,,,
VIB,2017-12-08,2960.0,2980.0,2910.0,2910.0,31131.0,,,,,,
VIB,2017-12-11,2910.0,2980.0,2890.0,2890.0,43357.0,,,,,,
VIB,2017-12-12,2890.0,2910.0,2850.0,2890.0,29300.0,,,,,,
VIB,2017-12-13,2890.0,3000.0,2890.0,2950.0,170413.0,,,,,,
VIB,2017-12-14,2960.0,3060.0,2960.0,2980.0,160203.0,,,,,,
VIB,2017-12-15,3000.0,3060.0,3000.0,3000.0,94491.0,,,,,,
VIB,2017-12-18,3070.0,3070.0,2910.0,2910.0,106059.0,,,,,,
VIB,2017-12-19,2910.0,2960.0,2890.0,2900.0,85153.0,,,,,,
VIB,2017-12-20,2940.0,2940.0,2900.0,2900.0,65330.0,,,,,,
VIB,2017-12-21,2900.0,2960.0,2900.0,2960.0,20110.0,,,,,,
VIB,2017-12-22,2960.0,3000.0,2950.0,3000.0,18340.0,,,,,,
VIB,2017-12-25,2950.0,2950.0,2870.0,2950.0,46610.0,,,,,,
VIB,2017-12-26,2930.0,3020.0,2930.0,2950.0,73382.0,,,,,,
VIB,2017-12-27,2970.0,2970.0,2950.0,2950.0,48600.0,,,,,,
VIB,2017-12-28,2960.0,3020.0,2960.0,2960.0,38900.0,,,,,,
VIB,2017-12-29,2980.0,2990.0,2960.0,2960.0,46720.0,,,,,,
VIB,2018-01-02,2960.0,3010.0,2920.0,2960.0,57022.0,,,,,,
VIB,2018-01-03,3000.0,3020.0,2960.0,2960.0,214767.0,,,,,,
VIB,2018-01-04,3000.0,3040.0,2960.0,2990.0,238386.0,,,,,,
VIB,2018-01-05,2990.0,3110.0,2990.0,3110.0,265531.0,,,,,,
VIB,2018-01-08,3150.0,3300.0,3150.0,3270.0,685881.0,,,,,,
VIB,2018-01-09,3310.0,3310.0,3210.0,3270.0,325410.0,,,,,,
VIB,2018-01-10,3310.0,3310.0,3260.0,3280.0,118480.0,,,,,,
VIB,2018-01-11,3280.0,3480.0,3260.0,3450.0,195003.0,,,,,,
VIB,2018-01-12,3450.0,3730.0,3450.0,3660.0,342285.0,,,,,,
VIB,2018-01-15,3620.0,3820.0,3620.0,3760.0,232284.0,,,,,,
VIB,2018-01-16,3750.0,3760.0,3660.0,3750.0,272020.0,,,,,,
VIB,2018-01-17,3860.0,4000.0,3860.0,3960.0,667921.0,,,,,,
VIB,2018-01-18,3960.0,4000.0,3930.0,3980.0,180355.0,,,,,,
VIB,2018-01-19,4000.0,4010.0,3960.0,4000.0,336315.0,,,,,,
VIB,2018-01-22,4000.0,4000.0,3750.0,3860.0,289855.0,,,,,,
VIB,2018-01-23,3860.0,3980.0,3790.0,3790.0,247292.0,,,,,,
VIB,2018-01-24,3840.0,3870.0,3800.0,3800.0,89610.0,,,,,,
VIB,2018-01-25,3820.0,4040.0,3750.0,3920.0,205113.0,,,,,,
VIB,2018-01-26,3860.0,4030.0,3840.0,3930.0,288220.0,,,,,,
VIB,2018-01-29,3950.0,4010.0,3920.0,3920.0,532714.0,,,,,,
VIB,2018-01-30,3980.0,3980.0,3870.0,3890.0,259170.0,,,,,,
VIB,2018-01-31,3920.0,4000.0,3890.0,3890.0,249980.0,,,,,,
VIB,2018-02-01,3930.0,3930.0,3860.0,3870.0,135640.0,,,,,,
VIB,2018-02-02,3890.0,4010.0,3810.0,3890.0,202452.0,,,,,,
VIB,2018-02-05,3870.0,3950.0,3860.0,3860.0,159860.0,,,,,,
VIB,2018-02-06,3810.0,3840.0,3320.0,3500.0,380515.0,,,,,,
VIB,2018-02-07,3870.0,3870.0,3760.0,3860.0,113260.0,,,,,,
VIB,2018-02-08,3870.0,3930.0,3870.0,3870.0,144631.0,,,,,,
VIB,2018-02-09,3870.0,3890.0,3530.0,3890.0,179530.0,,,,,,
VIB,2018-02-12,3920.0,4019.0,3920.0,3980.0,120420.0,,,,,,
VIB,2018-02-13,3960.0,4250.0,3960.0,4040.0,420640.0,,,,,,
VIB,2018-02-21,4180.0,4210.0,4110.0,4110.0,303603.0,,,,,,
VIB,2018-02-22,4120.0,4180.0,4040.0,4040.0,252910.0,,,,,,
VIB,2018-02-23,3980.0,4110.0,3920.0,4000.0,482752.0,,,,,,
VIB,2018-02-26,4030.0,4040.0,4000.0,4000.0,307770.0,,,,,,
VIB,2018-02-27,4030.0,4170.0,4010.0,4010.0,1317997.0,,,,,,
VIB,2018-02-28,4040.0,4570.0,4040.0,4250.0,2710823.0,,,,,,
VIB,2018-03-01,4340.0,4440.0,4250.0,4250.0,1051660.0,,,,,,
VIB,2018-03-02,4250.0,4540.0,4180.0,4440.0,1039155.0,,,,,,
VIB,2018-03-05,4490.0,4890.0,4490.0,4620.0,1476970.0,,,,,,
VIB,2018-03-06,4700.0,4790.0,4570.0,4790.0,796783.0,,,,,,
VIB,2018-03-07,4790.0,4970.0,4750.0,4920.0,1208059.0,,,,,,
VIB,2018-03-08,4940.0,5160.0,4920.0,5130.0,1397434.0,,,,,,
VIB,2018-03-09,5130.0,5240.0,5090.0,5110.0,1518327.0,,,,,,
VIB,2018-03-12,5180.0,5220.0,4980.0,5050.0,1980367.0,,,,,,
VIB,2018-03-13,5010.0,5260.0,5010.0,5240.0,506569.0,,,,,,
VIB,2018-03-14,5410.0,5610.0,5220.0,5610.0,787416.0,,,,,,
VIB,2018-03-15,5620.0,5800.0,5620.0,5690.0,763190.0,,,,,,
VIB,2018-03-16,5690.0,5790.0,5500.0,5690.0,647026.0,,,,,,
VIB,2018-03-19,5710.0,5710.0,5430.0,5460.0,904384.0,,,,,,
VIB,2018-03-20,5460.0,5480.0,5320.0,5360.0,1062474.0,,,,,,
VIB,2018-03-21,5360.0,5390.0,5160.0,5260.0,1276623.0,,,,,,
VIB,2018-03-22,5280.0,5280.0,5220.0,5250.0,206520.0,,,,,,
VIB,2018-03-23,5220.0,5220.0,5030.0,5160.0,669000.0,,,,,,
VIB,2018-03-26,5130.0,5240.0,5080.0,5220.0,298632.0,,,,,,
VIB,2018-03-27,5280.0,5360.0,5250.0,5260.0,237474.0,,,,,,
VIB,2018-03-28,5280.0,5290.0,5140.0,5180.0,249703.0,,,,,,
VIB,2018-03-29,5190.0,5550.0,5190.0,5410.0,539404.0,,,,,,
VIB,2018-03-30,5460.0,5460.0,5280.0,5360.0,181246.0,,,,,,
VIB,2018-04-02,5340.0,5360.0,5220.0,5320.0,342729.0,,,,,,
VIB,2018-04-03,5290.0,5360.0,5220.0,5220.0,218136.0,,,,,,
VIB,2018-04-04,5220.0,5280.0,5200.0,5200.0,407380.0,,,,,,
VIB,2018-04-05,5240.0,5260.0,5140.0,5180.0,377374.0,,,,,,
VIB,2018-04-06,5240.0,5240.0,5190.0,5220.0,241779.0,,,,,,
VIB,2018-04-09,5260.0,5260.0,5180.0,5260.0,430654.0,,,,,,
VIB,2018-04-10,5260.0,5470.0,5220.0,5460.0,1084989.0,,,,,,
VIB,2018-04-11,5470.0,5540.0,5320.0,5410.0,554047.0,,,,,,
VIB,2018-04-12,5430.0,5460.0,5280.0,5430.0,241614.0,,,,,,
VIB,2018-04-13,5430.0,5460.0,5250.0,5260.0,486574.0,,,,,,
VIB,2018-04-16,5260.0,5370.0,5190.0,5260.0,268427.0,,,,,,
VIB,2018-04-17,5260.0,5360.0,5260.0,5320.0,179800.0,,,,,,
VIB,2018-04-18,5320.0,5360.0,5220.0,5240.0,170387.0,,,,,,
VIB,2018-04-19,5340.0,5360.0,5010.0,5010.0,382395.0,,,,,,
VIB,2018-04-20,5010.0,5140.0,4890.0,5110.0,592550.0,,,,,,
VIB,2018-04-23,5110.0,5110.0,4750.0,4750.0,423470.0,,,,,,
VIB,2018-04-24,4750.0,4860.0,4570.0,4700.0,590373.0,,,,,,
VIB,2018-04-26,4750.0,4750.0,4170.0,4250.0,310907.0,,,,,,
VIB,2018-04-27,4250.0,4620.0,4250.0,4610.0,293365.0,,,,,,
VIB,2018-05-02,4540.0,4550.0,4410.0,4490.0,114976.0,,,,,,
VIB,2018-05-03,4360.0,4750.0,4300.0,4750.0,288680.0,,,,,,
VIB,2018-05-04,4750.0,4750.0,4620.0,4640.0,67676.0,,,,,,
VIB,2018-05-07,4590.0,4700.0,4590.0,4680.0,67380.0,,,,,,
VIB,2018-05-08,4750.0,4840.0,4680.0,4720.0,133891.0,,,,,,
VIB,2018-05-09,4700.0,4700.0,4620.0,4620.0,80076.0,,,,,,
VIB,2018-05-10,4540.0,4650.0,4490.0,4490.0,73710.0,,,,,,
VIB,2018-05-11,4400.0,4510.0,4370.0,4510.0,91270.0,,,,,,
VIB,2018-05-14,4440.0,4440.0,4360.0,4360.0,52792.0,,,,,,
VIB,2018-05-15,4490.0,4490.0,4410.0,4440.0,23548.0,,,,,,
VIB,2018-05-16,4400.0,4440.0,4320.0,4360.0,63545.0,,,,,,
VIB,2018-05-17,4340.0,4340.0,4250.0,4320.0,84803.0,,,,,,
VIB,2018-05-18,4270.0,4270.0,4070.0,4150.0,218800.0,,,,,,
VIB,2018-05-21,4150.0,4250.0,4090.0,4170.0,247809.0,,,,,,
VIB,2018-05-22,4170.0,4170.0,3960.0,4000.0,325349.0,,,,,,
VIB,2018-05-23,3890.0,4010.0,3870.0,3970.0,241212.0,,,,,,
VIB,2018-05-24,3970.0,3970.0,3890.0,3930.0,134127.0,,,,,,
VIB,2018-05-25,3890.0,3910.0,3850.0,3850.0,159510.0,,,,,,
VIB,2018-05-28,3890.0,3890.0,3420.0,3440.0,129800.0,,,,,,
VIB,2018-05-29,3510.0,3790.0,3510.0,3630.0,388556.0,,,,,,
VIB,2018-05-30,3680.0,3760.0,3630.0,3680.0,264240.0,,,,,,
VIB,2018-05-31,3650.0,3750.0,3650.0,3720.0,228678.0,,,,,,
