symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VHM.VN')","('high', 'VHM.VN')","('low', 'VHM.VN')","('close', 'VHM.VN')","('volume', 'VHM.VN')"
VHM,2018-08-22,64069.0,64599.0,63900.0,64069.0,415780.0,,,,,,
VHM,2018-08-23,64129.0,65349.0,64129.0,65239.0,1371780.0,,,,,,
VHM,2018-08-24,65410.0,65820.0,64769.0,65000.0,1340480.0,,,,,,
VHM,2018-08-27,65239.0,65239.0,64890.0,65000.0,913670.0,,,,,,
VHM,2018-08-28,65000.0,65000.0,64420.0,64709.0,817180.0,,,,,,
VHM,2018-08-29,64709.0,64709.0,63140.0,63140.0,303590.0,,,,,,
VHM,2018-08-30,62960.0,62960.0,62090.0,62610.0,409540.0,,,,,,
VHM,2018-08-31,62610.0,64830.0,60630.0,60630.0,3027640.0,,,,,,
VHM,2018-09-04,62320.0,62790.0,60750.0,61160.0,225530.0,,,,,,
VHM,2018-09-05,61680.0,61800.0,61270.0,61800.0,318560.0,,,,,,
VHM,2018-09-06,61800.0,61800.0,60980.0,61220.0,287240.0,,,,,,
VHM,2018-09-07,60630.0,61220.0,60630.0,61100.0,459090.0,,,,,,
VHM,2018-09-10,61510.0,61510.0,60980.0,60980.0,532950.0,,,,,,
VHM,2018-09-11,60630.0,61220.0,60460.0,60460.0,483770.0,,,,,,
VHM,2018-09-12,61100.0,61100.0,60520.0,60630.0,605640.0,,,,,,
VHM,2018-09-13,60630.0,61560.0,60630.0,61270.0,836910.0,,,,,,
VHM,2018-09-14,61680.0,61800.0,61390.0,61510.0,591790.0,,,,,,
VHM,2018-09-17,61510.0,62210.0,61450.0,61510.0,1287240.0,,,,,,
VHM,2018-09-18,61510.0,61510.0,60630.0,60980.0,207550.0,,,,,,
VHM,2018-09-19,61450.0,61450.0,60050.0,60980.0,258160.0,,,,,,
VHM,2018-09-20,61220.0,61220.0,60570.0,61220.0,336900.0,,,,,,
VHM,2018-09-21,60980.0,61270.0,59170.0,59170.0,8102520.0,,,,,,
VHM,2018-09-24,59170.0,60050.0,59170.0,59990.0,634680.0,,,,,,
VHM,2018-09-25,60050.0,60280.0,59230.0,59700.0,472130.0,,,,,,
VHM,2018-09-26,59470.0,59760.0,59410.0,59410.0,473580.0,,,,,,
VHM,2018-09-27,60050.0,60920.0,60050.0,60630.0,525990.0,,,,,,
VHM,2018-09-28,61510.0,61800.0,60980.0,61800.0,846730.0,,,,,,
VHM,2018-10-01,62090.0,62440.0,60110.0,60110.0,523580.0,,,,,,
VHM,2018-10-02,60810.0,61220.0,60520.0,60630.0,534540.0,,,,,,
VHM,2018-10-03,61160.0,61160.0,59410.0,59470.0,467970.0,,,,,,
VHM,2018-10-04,60630.0,60630.0,59820.0,59820.0,331810.0,,,,,,
VHM,2018-10-05,60630.0,60630.0,59520.0,59520.0,304710.0,,,,,,
VHM,2018-10-08,60110.0,60470.0,58290.0,58290.0,265800.0,,,,,,
VHM,2018-10-09,59160.0,59890.0,58290.0,58290.0,267080.0,,,,,,
VHM,2018-10-10,59380.0,59380.0,58290.0,58360.0,378520.0,,,,,,
VHM,2018-10-11,56100.0,58430.0,54720.0,55740.0,736740.0,,,,,,
VHM,2018-10-12,55740.0,57560.0,55370.0,56100.0,666960.0,,,,,,
VHM,2018-10-15,56100.0,56100.0,53190.0,53260.0,505140.0,,,,,,
VHM,2018-10-16,53260.0,54720.0,53260.0,54350.0,349810.0,,,,,,
VHM,2018-10-17,55590.0,56100.0,54640.0,55660.0,300010.0,,,,,,
VHM,2018-10-18,55660.0,55950.0,55010.0,55080.0,146220.0,,,,,,
VHM,2018-10-19,54350.0,55440.0,53910.0,54500.0,282610.0,,,,,,
VHM,2018-10-22,54500.0,55010.0,54420.0,54420.0,252630.0,,,,,,
VHM,2018-10-23,53770.0,54280.0,53480.0,53990.0,136760.0,,,,,,
VHM,2018-10-24,53550.0,54060.0,52820.0,52820.0,233830.0,,,,,,
VHM,2018-10-25,49910.0,51150.0,49540.0,49910.0,479440.0,,,,,,
VHM,2018-10-26,49910.0,50270.0,46480.0,47360.0,1004220.0,,,,,,
VHM,2018-10-29,45540.0,46340.0,44440.0,45030.0,338080.0,,,,,,
