symbol,date,open,high,low,close,volume,"('date', '')","('open', 'GAS.VN')","('high', 'GAS.VN')","('low', 'GAS.VN')","('close', 'GAS.VN')","('volume', 'GAS.VN')"
GAS,2018-02-23,62060.0,63480.0,61030.0,63190.0,748160.0,,,,,,
GAS,2018-02-26,63480.0,67180.0,63480.0,64330.0,845250.0,,,,,,
GAS,2018-02-27,66040.0,66040.0,64099.0,64620.0,608620.0,,,,,,
GAS,2018-02-28,64040.0,65019.0,63480.0,64849.0,721370.0,,,,,,
GAS,2018-03-01,64330.0,66840.0,63760.0,66040.0,875090.0,,,,,,
GAS,2018-03-02,64900.0,67180.0,64900.0,66610.0,923410.0,,,,,,
GAS,2018-03-05,67740.0,68500.0,63760.0,63760.0,822020.0,,,,,,
GAS,2018-03-06,65470.0,66730.0,64330.0,66610.0,806110.0,,,,,,
GAS,2018-03-07,66610.0,67070.0,63480.0,65360.0,718330.0,,,,,,
GAS,2018-03-08,64390.0,66560.0,64390.0,65250.0,301630.0,,,,,,
GAS,2018-03-09,65360.0,65760.0,63760.0,63760.0,606610.0,,,,,,
GAS,2018-03-12,66040.0,66490.0,64900.0,66150.0,504770.0,,,,,,
GAS,2018-03-13,66150.0,66150.0,64849.0,65470.0,218290.0,,,,,,
GAS,2018-03-14,65470.0,67460.0,65250.0,67290.0,816130.0,,,,,,
GAS,2018-03-15,66610.0,68880.0,66040.0,68880.0,577980.0,,,,,,
GAS,2018-03-16,68880.0,72870.0,68210.0,72870.0,1231950.0,,,,,,
GAS,2018-03-19,72310.0,73730.0,72020.0,73170.0,727400.0,,,,,,
GAS,2018-03-20,72020.0,73450.0,71740.0,71740.0,619750.0,,,,,,
GAS,2018-03-21,72870.0,73780.0,72020.0,72410.0,621450.0,,,,,,
GAS,2018-03-22,73900.0,76800.0,73340.0,76170.0,898250.0,,,,,,
GAS,2018-03-23,73730.0,75150.0,73170.0,74530.0,722160.0,,,,,,
GAS,2018-03-26,74010.0,77320.0,73780.0,73780.0,960430.0,,,,,,
GAS,2018-03-27,75150.0,75730.0,71620.0,72190.0,854590.0,,,,,,
GAS,2018-03-28,72240.0,72590.0,71450.0,72310.0,420920.0,,,,,,
GAS,2018-03-29,72310.0,72410.0,71450.0,72020.0,254020.0,,,,,,
GAS,2018-03-30,72310.0,74970.0,72020.0,74800.0,606010.0,,,,,,
GAS,2018-04-02,75150.0,77660.0,74970.0,77490.0,811810.0,,,,,,
GAS,2018-04-03,77490.0,77490.0,75730.0,75730.0,738610.0,,,,,,
GAS,2018-04-04,76800.0,76870.0,73450.0,74010.0,851340.0,,,,,,
GAS,2018-04-05,74010.0,74590.0,72070.0,73960.0,1029020.0,,,,,,
GAS,2018-04-06,74010.0,75660.0,73170.0,73900.0,327230.0,,,,,,
GAS,2018-04-09,72930.0,74590.0,72870.0,73900.0,419850.0,,,,,,
GAS,2018-04-10,74010.0,74870.0,73730.0,73730.0,594310.0,,,,,,
GAS,2018-04-11,74870.0,75440.0,72020.0,72020.0,819030.0,,,,,,
GAS,2018-04-12,72870.0,74300.0,71740.0,74300.0,791540.0,,,,,,
GAS,2018-04-13,75150.0,75150.0,71740.0,72870.0,410160.0,,,,,,
GAS,2018-04-16,73730.0,73730.0,71840.0,72480.0,379940.0,,,,,,
GAS,2018-04-17,72310.0,73210.0,70600.0,72870.0,646850.0,,,,,,
GAS,2018-04-18,73550.0,73840.0,72370.0,73620.0,804260.0,,,,,,
GAS,2018-04-19,74460.0,75260.0,72930.0,73620.0,1152430.0,,,,,,
GAS,2018-04-20,72990.0,76300.0,72990.0,76300.0,947250.0,,,,,,
GAS,2018-04-23,76120.0,77430.0,70990.0,70990.0,925000.0,,,,,,
